x raw rlo rhi str slo shi shr hlo hhi crb
1.000000000000000082e-05 2.514039022051890448e+00 2.367672422301011714e+00 2.689050577729211966e+00 2.506569525903405538e+00 2.358870559487928453e+00 2.680499290467088791e+00 2.506640431429636440e+00 2.359030088341306453e+00 2.680889159317394466e+00 2.336938506530269244e+00
1.000000000000000048e-04 2.436286151848985337e+00 2.220273706681026749e+00 2.630796789839886962e+00 2.426996941231580607e+00 2.213400727960630476e+00 2.606183791870090971e+00 2.425979799915889856e+00 2.211551154043086331e+00 2.606163585189086973e+00 2.349892528166520833e+00
1.000000000000000021e-03 2.735726988938621762e+00 2.573191296424502283e+00 2.930023223576839975e+00 2.589597383194418345e+00 2.424127145903587799e+00 2.757964708333993986e+00 2.592940377829139109e+00 2.427226233455338722e+00 2.763826416287347154e+00 2.400720684412861239e+00
3.000000000000000062e-03 2.849177534702497461e+00 2.679967228864779560e+00 3.007355596600940650e+00 2.536935562252517595e+00 2.383370193081666866e+00 2.685961646568608252e+00 2.538225935823427371e+00 2.386251009762301756e+00 2.688532200219805546e+00 2.451225002871040726e+00
1.000000000000000021e-02 6.554690093106243509e+00 4.017446129786943487e+00 8.861881014226469233e+00 2.720725432822251655e+00 2.498898682160495266e+00 2.953959560642740900e+00 2.720999696097607501e+00 2.507015576014659519e+00 2.953467241374093444e+00 2.665094096529279089e+00
2.999999999999999889e-02 1.939342544515333344e+01 1.680859595080717028e+01 2.213888871432154559e+01 8.004268478489532157e+00 4.958488030034503780e+00 1.100765748972412972e+01 8.006564206657452942e+00 4.966583591160324218e+00 1.101808727536136523e+01 3.049458895602419339e+00
1.000000000000000056e-01 3.637149204224601107e+01 3.346369857355922051e+01 3.892260836533208135e+01 2.923675002301515846e+01 2.602893521868308824e+01 3.246475693464641665e+01 2.920487256833360945e+01 2.590298257653655511e+01 3.231340441081186299e+01 3.618124108336287392e+00
