x raw rlo rhi str slo shi shr hlo hhi crb
-5.500000000000000000e+01 2.549940166290296961e+00 2.359016001268581686e+00 2.731156480868524472e+00 2.562298157618071226e+00 2.357056890024550100e+00 2.746099230038943073e+00 2.562265174857487171e+00 2.356336293198784571e+00 2.745536319402645198e+00 2.370981964729657054e+00
-5.000000000000000000e+01 2.532642674154039764e+00 2.310191040686923714e+00 2.721521753982380609e+00 2.545632134224334653e+00 2.334984946996578881e+00 2.742779249510949313e+00 2.541945583230096339e+00 2.328163324380026378e+00 2.734669127565141800e+00 2.354396958686436836e+00
-4.500000000000000000e+01 2.442194126476346483e+00 2.253416364466312771e+00 2.580159273480745696e+00 2.498421853158301786e+00 2.313446933261084304e+00 2.659307041444894715e+00 2.475067809633840987e+00 2.291973412007203059e+00 2.631131474822333782e+00 2.329945921426288979e+00
-4.000000000000000000e+01 2.430609414624210540e+00 2.293860958215503842e+00 2.600337181344795745e+00 2.591492328366230780e+00 2.422301071258449845e+00 2.783106467777987536e+00 2.467759222175148093e+00 2.305861115741409062e+00 2.654435545877202873e+00 2.320627453824320785e+00
-3.500000000000000000e+01 2.600142097052136503e+00 2.428225426582191648e+00 2.775972079222429834e+00 3.212968634279634639e+00 2.990605836650829019e+00 3.466042059907779915e+00 2.663625466353392923e+00 2.469779876442873334e+00 2.845368610793197472e+00 2.366926282206753829e+00
-3.000000000000000000e+01 2.386672814148349087e+00 2.213040190230392668e+00 2.524826792188784808e+00 1.058289377715154345e+01 8.282144584924784780e+00 1.256965576430019205e+01 2.414776125678836038e+00 2.231178874692656855e+00 2.553646283655738092e+00 2.325788876631862401e+00
-2.500000000000000000e+01 2.482824325568443680e+00 2.307903235210086113e+00 2.647663652817933588e+00 3.141256129162276878e+01 2.832349873349285829e+01 3.401245274624422876e+01 2.510293912177270936e+00 2.327120197245717836e+00 2.670338978332187807e+00 2.368611201789508236e+00
-2.000000000000000000e+01 2.417569321584662756e+00 2.267541859389593739e+00 2.586883866183638858e+00 4.034214595411537374e+01 3.731540519815778367e+01 4.339715861229315408e+01 2.417465588993743530e+00 2.264059879152101384e+00 2.590784825044051054e+00 2.323709495605132069e+00
