x raw rlo rhi str slo shi shr hlo hhi crb
1.000000000000000082e-05 7.129247869331349818e+01 6.654037199010133463e+01 7.554765828540956818e+01 7.115184827205838758e+01 6.638207648983186004e+01 7.544242091069669698e+01 7.115116621640983396e+01 6.637481675246669965e+01 7.543812567249628387e+01 7.041174851666863788e+01
1.000000000000000048e-04 7.707947638305448379e+01 7.208789987518065345e+01 8.117717858802267017e+01 7.649886252866342318e+01 7.164419292424973662e+01 8.069389784386810049e+01 7.650515775723501122e+01 7.165519954555294646e+01 8.069924351743289037e+01 7.050619572983168837e+01
1.000000000000000021e-03 7.713154891716889949e+01 7.286478354085583931e+01 8.222922070820484919e+01 7.424759369920347751e+01 6.970954764532791614e+01 7.928680504350553804e+01 7.419560024413347321e+01 6.958704555171632933e+01 7.924186419488272293e+01 7.127130658804995278e+01
3.000000000000000062e-03 8.992297591526593692e+01 8.379167412450313179e+01 9.532818158297742173e+01 7.944750901139801158e+01 7.415220365339764896e+01 8.412104300756431030e+01 7.955174795739542049e+01 7.424317720968311107e+01 8.433472921409585865e+01 7.308512536192557718e+01
1.000000000000000021e-02 1.214182213261498902e+02 1.092449479416096523e+02 1.352840529840881914e+02 8.333200110794169291e+01 7.834870475458880890e+01 8.888410789294003678e+01 8.358474692961848973e+01 7.849790776771398271e+01 8.891112946096457392e+01 7.696183902415063471e+01
2.999999999999999889e-02 5.027944754501280613e+02 4.350933341411838455e+02 5.665307596777357730e+02 1.756751095771293478e+02 1.332413750209016996e+02 2.259927837554789676e+02 1.672582505497608736e+02 1.218888379667668573e+02 2.241264365800753353e+02 8.271797708397106419e+01
1.000000000000000056e-01 9.284110714044904853e+02 8.497425834036906735e+02 9.934173470102590500e+02 7.297284930778919261e+02 6.572195245862033062e+02 7.997571343108243127e+02 7.266263322733310588e+02 6.510613052019493807e+02 7.955382307104558777e+02 9.352552987332762768e+01
