x raw rlo rhi str slo shi shr hlo hhi crb
-5.500000000000000000e+01 7.239132498661916770e+01 6.711564489653333965e+01 7.676374977511501640e+01 7.220806826523593713e+01 6.682761336662049700e+01 7.679911262322569598e+01 7.222010163037882080e+01 6.685167275696990430e+01 7.681684742604650751e+01 7.049423498411319144e+01
-5.000000000000000000e+01 7.399788037039228072e+01 6.936786685394426399e+01 7.960727811905069018e+01 7.434182167190402879e+01 6.994446284352328291e+01 7.951325359909269253e+01 7.419880669884638280e+01 6.976729151040214560e+01 7.928626158981570882e+01 7.050491207107003788e+01
-4.500000000000000000e+01 7.387860561100494294e+01 6.992037378743940224e+01 7.859041821808038719e+01 7.644669377224310836e+01 7.223548795342533424e+01 8.112617728117690774e+01 7.541993410321221347e+01 7.150748046645588829e+01 8.008951461361600366e+01 7.050318954187889631e+01
-4.000000000000000000e+01 7.535304601013254455e+01 7.101498800997860883e+01 8.023720535611977311e+01 8.149986899472206403e+01 7.644074989661224606e+01 8.654372062469731475e+01 7.713821092766514198e+01 7.240347095555854651e+01 8.233488185608621279e+01 7.050091253974333938e+01
-3.500000000000000000e+01 6.889539557935050595e+01 6.464160805409021293e+01 7.347094570462145668e+01 9.537335935628509276e+01 8.848144164237196208e+01 1.026302226779743023e+02 7.151935016529446898e+01 6.733845352469043632e+01 7.686966926904048591e+01 7.050364043379974532e+01
-3.000000000000000000e+01 6.738998856926933456e+01 6.324655966058836754e+01 7.153145864103062479e+01 2.596273175078564464e+02 1.964297417979424267e+02 3.218481145048835401e+02 6.912574179699629440e+01 6.473592772859711886e+01 7.417862967255065598e+01 7.050681451517490927e+01
-2.500000000000000000e+01 7.158133427669721982e+01 6.708468221530891640e+01 7.585045489676286934e+01 6.886992633071661203e+02 6.203176843448945874e+02 7.590852267994896465e+02 7.228447731495319317e+01 6.771016003935172023e+01 7.635376967896755218e+01 7.050046419068205239e+01
-2.000000000000000000e+01 7.139547500258127855e+01 6.673725714574554502e+01 7.493878213070213690e+01 9.857084716287508854e+02 9.289903461963085647e+02 1.041016790645026504e+03 7.148380017993689250e+01 6.688803285242583740e+01 7.521133960624602821e+01 7.049527636667710340e+01
