rho R
1.000000000000000048e-04 6.352088254193315464e+01
3.981071705534973523e-04 6.254735947843874300e+01
1.584893192461114082e-03 5.810978043771061863e+01
6.309573444801930275e-03 4.592194863392216320e+01
2.511886431509579437e-02 2.512562900290066636e+01
1.000000000000000056e-01 9.486466484404333599e+00
3.981071705534969252e-01 3.397724103017261132e+00
1.584893192461114042e+00 1.612780143072777062e+00
6.309573444801929831e+00 1.155672040837289138e+00
2.511886431509577022e+01 1.039071119384889386e+00
1.000000000000000000e+02 1.009881862612624026e+00
